depth,cell_index,theta_0,phi_0,theta_1,phi_1,theta_2,phi_2,theta_3,phi_3,center_energy,volume,gradient_0,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7
5,10,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,4.319689898685965,1.850498842815708,5.650540912520551,1.9946077426450335,0.0,0.3621733110800292,6.083904902705863,0.2254166227705994,-6.407198663377611,0.21622176763779757,0.3232937606717473,-0.06522290946701942
5,11,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,3.5342917352885173,1.850498842815708,3.8868444952980337,1.9946077426450335,0.0,0.09992860210834471,0.6020079371276527,-0.02873325387368872,-0.5309257407877475,-0.023393917111418028,-0.07108219633990524,-0.07804787552171308
5,12,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,4.319689898685965,1.850498842815708,3.9348174577985047,1.9946077426450335,0.0,0.227508902789467,0.44573418417381,-0.015053674898805637,-0.6498818823683483,-0.030183804601119597,0.2041476981945383,-0.07115818403653157
5,13,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,5.105088062083414,1.850498842815708,6.130753775958441,1.9946077426450335,0.0,0.5425991025949101,5.592245962668072,0.2700390349409654,-6.653960960171083,0.24056567115556907,1.0617149975030118,0.0037434062211180864
5,14,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,5.890486225480862,1.850498842815708,8.469000782628326,1.9946077426450335,0.0,0.6701794032760324,-0.40987920526971333,0.518520525324681,-7.8813493789376,0.32789417983010405,8.291228584207312,0.3395534052793686
5,15,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,5.105088062083414,1.850498842815708,4.284052207089813,1.9946077426450335,0.0,0.4079346943043479,-0.04592475586398229,0.029568737271560383,-0.7644078802676774,-0.02465047167864918,0.8103326361316596,-0.021002438943695134
5,16,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,5.890486225480862,1.850498842815708,6.177676041225147,1.9946077426450335,0.0,0.5355149949854702,-6.048049923801767,0.27805022765527593,-1.0026066230789223,-0.0011770248193109535,7.050656546880689,0.2509524982993586
5,17,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,3.5342917352885173,1.850498842815708,3.7812605418193,1.9946077426450335,0.0,-0.08569550986073826,0.13851823371861782,-0.07150307062441377,0.21315200714453308,-0.03855747648607805,-0.3516702408631509,-0.050441618145648064
5,18,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,4.319689898685965,1.850498842815708,3.6874465935950793,1.9946077426450335,0.0,0.04188479082038403,-0.017755519235224917,-0.05782349164953069,-0.06247725310063909,-0.06571025216557001,0.08023277233586401,-0.06391481485025693
5,19,0.0,0.0,0.0,1.850498842815708,2.836393571891069,1.850498842815708,3.5342917352885173,1.850498842815708,4.456127548265262,1.9946077426450333,0.0,-0.20689908763792095,-0.012278646852518863,-0.08397248722423849,2.050430031921332,0.05836431498958959,-2.0381513850688133,0.0589495899298443
5,20,0.0,0.0,0.0,1.850498842815708,2.836393571891069,1.850498842815708,4.319689898685965,1.850498842815708,3.79999453420005,1.9946077426450333,0.0,-0.07931878695679864,-0.1685523998063616,-0.0702929082493554,0.37984211283839386,-0.049546551871823066,-0.21128971303203223,-0.035281697956685266
5,21,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,5.105088062083414,1.850498842815708,3.9478797484209527,1.9946077426450335,0.0,0.22231058233526496,-0.5094144592730172,-0.013201079479164669,-0.18313563378903613,-0.07293026107086453,0.6925500930620533,-0.02651241158518544
5,22,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,5.890486225480862,1.850498842815708,5.713739304908186,1.9946077426450335,0.0,0.34989088301638727,-6.5115396272108015,0.23528041090455087,-0.296399623999009,-0.06780582602862718,6.8079392512098105,0.22709351384076745
5,23,0.0,0.0,0.0,1.850498842815708,2.836393571891069,1.850498842815708,5.105088062083414,1.850498842815708,3.9146112089018974,1.9946077426450333,0.0,0.10110700455808228,-0.6602113398441539,-0.02567049607898939,0.09340365249257604,-0.07770816015196899,0.5668076873515778,-0.018820894066465182
5,24,0.0,0.0,0.0,1.850498842815708,2.836393571891069,1.850498842815708,5.890486225480862,1.850498842815708,5.591477357647457,1.9946077426450333,0.0,0.22868730523920458,-6.662336507781938,0.22281099430472615,-0.029075844107732583,-0.08536461441897698,6.691412351889671,0.22200414205024235
